#  It      Temp.          <S>           <TChi>           Cv 
#---------------------------------------------------------------
   0   1.000000e+00     2.76266932     0.26177470    -0.09722171 
   1   5.773503e-01     3.71925743     0.34493613     0.05002169 
   2   3.333333e-01     4.19519118     0.39018127     0.39846209 
   3   1.924501e-01     4.16133753     0.40929651     0.75473940 
   4   1.111111e-01     4.02270050     0.43512481     0.60783955 
   5   6.415003e-02     3.81074262     0.45093065     0.73370735 
   6   3.703704e-02     3.69934213     0.46044797     0.49924725 
   7   2.138334e-02     3.64435231     0.45832239     0.58943917 
   8   1.234568e-02     3.65153169     0.45952279     0.45735581 
   9   7.127781e-03     3.62999175     0.45555284     0.57906934 
  10   4.115226e-03     3.64437891     0.45618440     0.45793808 
  11   2.375927e-03     3.62537224     0.45189048     0.57670824 
  12   1.371742e-03     3.64104627     0.45206361     0.46209224 
  13   7.919757e-04     3.62264700     0.44734909     0.57528307 
  14   4.572474e-04     3.63819820     0.44683885     0.46875581 
  15   2.639919e-04     3.61973089     0.44148142     0.57388182 
  16   1.524158e-04     3.63428002     0.43994536     0.47857883 
  17   8.799730e-05     3.61517276     0.43359648     0.57209385 
  18   5.080526e-05     3.62756990     0.43049667     0.49327714 
  19   2.933243e-05     3.60678649     0.42258522     0.56961641 
  20   1.693509e-05     3.61475796     0.41702812     0.51602929 
  21   9.777478e-06     3.58983959     0.40659802     0.56628406 
  22   5.645029e-06     3.58823630     0.39712767     0.55191687 
  23   3.259159e-06     3.55313929     0.38273297     0.56248245 
  24   1.881676e-06     3.53049132     0.36737917     0.60540382 
  25   1.086386e-06     3.47271530     0.34780014     0.55893513 
  26   6.272255e-07     3.41076173     0.32599724     0.66413465 
  27   3.621288e-07     3.32132880     0.30393696     0.54727110 
  28   2.090752e-07     3.22377933     0.28165648     0.67777956 
  29   1.207096e-07     3.13851482     0.26629462     0.50696148 
  30   6.969172e-08     3.05863424     0.25210863     0.63545553 
  31   4.023653e-08     3.02221260     0.24680275     0.46292725 
  32   2.323057e-08     2.97798410     0.23955088     0.60088615 
  33   1.341218e-08     2.97594273     0.23953903     0.44207284 
  34   7.743524e-09     2.94871446     0.23516782     0.58705046 
  35   4.470726e-09     2.96016007     0.23707816     0.43479324 
  36   2.581175e-09     2.93881562     0.23369814     0.58231258 
  37   1.490242e-09     2.95489641     0.23625639     0.43237131 
  38   8.603916e-10     2.93550643     0.23320790     0.58072639 
  39   4.967473e-10     2.95314315     0.23598239     0.43156656 
  40   2.867972e-10     2.93440255     0.23304448     0.58019716 
