#      Temp.        S_avg         TChi_avg       Cv_avg 
#- --------------------------------------------------------
  5.773503e-01     1.35391706     0.14596292     0.01850101 
  3.333333e-01     1.30775736     0.15913285     0.09949299 
  1.924501e-01     1.21379095     0.17758631     0.15539879 
  1.111111e-01     1.06301177     0.19836835     0.17106686 
  6.415003e-02     0.89324512     0.21499809     0.13793069 
  3.703704e-02     0.77053702     0.22314942     0.07479123 
  2.138334e-02     0.71688294     0.22475470     0.02830550 
  1.234568e-02     0.70130997     0.22382795     0.01524860 
  7.127781e-03     0.69592008     0.22229971     0.01280773 
  4.115226e-03     0.69297365     0.22054918     0.01236396 
  2.375927e-03     0.69098433     0.21860325     0.01281289 
  1.371742e-03     0.68946950     0.21643767     0.01349524 
  7.919757e-04     0.68807603     0.21399611     0.01480492 
  4.572474e-04     0.68663493     0.21122300     0.01612051 
  2.639919e-04     0.68492635     0.20803271     0.01822596 
  1.524158e-04     0.68280727     0.20433811     0.02023473 
  8.799730e-05     0.67999020     0.20000470     0.02346231 
  5.080526e-05     0.67621610     0.19488971     0.02651753 
  2.933243e-05     0.67091655     0.18876976     0.03158620 
  1.693509e-05     0.66347684     0.18140582     0.03644115 
  9.777478e-06     0.65260970     0.17243391     0.04457996 
  5.645029e-06     0.63680421     0.16149254     0.05260145 
  3.259159e-06     0.61319289     0.14808915     0.06502279 
  1.881676e-06     0.57865065     0.13191882     0.07750769 
  1.086386e-06     0.52861225     0.11284013     0.09130357 
  6.272255e-07     0.46083323     0.09152885     0.10307027 
  3.621288e-07     0.37624101     0.06947786     0.10356549 
  2.090752e-07     0.28379191     0.04898209     0.09689931 
  1.207096e-07     0.19680214     0.03218454     0.07624090 
  6.969172e-08     0.12644032     0.01992461     0.05465134 
  4.023653e-08     0.07720223     0.01191220     0.03500043 
  2.323057e-08     0.04547223     0.00695684     0.02114449 
  1.341218e-08     0.02658735     0.00404514     0.01247196 
  7.743524e-09     0.01532427     0.00233416     0.00719314 
  4.470726e-09     0.00890389     0.00135152     0.00418877 
  2.581175e-09     0.00511327     0.00077866     0.00239882 
  1.490242e-09     0.00297006     0.00045066     0.00139679 
  8.603916e-10     0.00170444     0.00025960     0.00079905 
  4.967473e-10     0.00099016     0.00015024     0.00046556 
