#  It      Temp.          <S>           <TChi>           Cv 
#---------------------------------------------------------------
   0   1.000000e+00     1.38629436     0.12500000     0.00000000 
   1   5.773503e-01     2.35933136     0.20014795     0.00933103 
   2   3.333333e-01     2.87575006     0.23268064     0.30861768 
   3   1.924501e-01     2.92911643     0.23255458     0.57714695 
   4   1.111111e-01     2.95142006     0.23576403     0.43127370 
   5   6.415003e-02     2.93347752     0.23292072     0.58016404 
   6   3.703704e-02     2.95217230     0.23583626     0.43117693 
   7   2.138334e-02     2.93380901     0.23295809     0.57995818 
   8   1.234568e-02     2.95225634     0.23584433     0.43116611 
   9   7.127781e-03     2.93384586     0.23296225     0.57993532 
  10   4.115226e-03     2.95226569     0.23584523     0.43116491 
  11   2.375927e-03     2.93384995     0.23296271     0.57993278 
  12   1.371742e-03     2.95226672     0.23584533     0.43116477 
  13   7.919757e-04     2.93385041     0.23296276     0.57993250 
  14   4.572474e-04     2.95226684     0.23584534     0.43116476 
  15   2.639919e-04     2.93385046     0.23296276     0.57993247 
  16   1.524158e-04     2.95226685     0.23584534     0.43116476 
  17   8.799730e-05     2.93385046     0.23296277     0.57993246 
  18   5.080526e-05     2.95226685     0.23584534     0.43116476 
  19   2.933243e-05     2.93385046     0.23296277     0.57993246 
  20   1.693509e-05     2.95226685     0.23584534     0.43116476 
  21   9.777478e-06     2.93385046     0.23296277     0.57993246 
  22   5.645029e-06     2.95226685     0.23584534     0.43116476 
  23   3.259159e-06     2.93385046     0.23296277     0.57993246 
  24   1.881676e-06     2.95226685     0.23584534     0.43116476 
  25   1.086386e-06     2.93385046     0.23296277     0.57993246 
  26   6.272255e-07     2.95226685     0.23584534     0.43116476 
  27   3.621288e-07     2.93385046     0.23296277     0.57993246 
  28   2.090752e-07     2.95226685     0.23584534     0.43116476 
  29   1.207096e-07     2.93385046     0.23296277     0.57993246 
  30   6.969172e-08     2.95226685     0.23584534     0.43116476 
