1-Channel Fermionic Chain 
Lambda = 3.000, KEPT =  600, ITMAX =  30 
 
Iteration = 0 
---------------
 It.  #   2Sz   Q          E 
--------------------------------------
  0   1    0   -1   0.0000000000000000 
  0   2    1    0   0.0000000000000000 
  0   3   -1    0   0.0000000000000000 
  0   4    0    1   0.0000000000000000 

Iteration = 1 
---------------
 It.  #   2Sz   Q          E 
--------------------------------------
  1   1    0    0   0.0000000000000000 
  1   2    1   -1   0.5547001962252291 
  1   3   -1   -1   0.5547001962252291 
  1   4    1    1   0.5547001962252291 
  1   5   -1    1   0.5547001962252291 
  1   6    0    0   1.1094003924504583 
  1   7    0   -2   1.1094003924504583 
  1   8    2    0   1.1094003924504583 
  1   9   -2    0   1.1094003924504583 
  1  10    0    2   1.1094003924504583 
  1  11    0    0   1.1094003924504583 
  1  12    1   -1   1.6641005886756874 
  1  13   -1   -1   1.6641005886756874 
  1  14    1    1   1.6641005886756874 
  1  15   -1    1   1.6641005886756874 
  1  16    0    0   2.2188007849009166 

Elapsed Time =  0.04201 +  0.00078 + 0.00102 +  0.00203 =  0.04585 

Iteration = 2 
---------------
 It.  #   2Sz   Q          E 
--------------------------------------
  2   1    1    0   0.0000000000000000 
  2   2    0    1   0.0000000000000000 
  2   3    0   -1   0.0000000000000000 
  2   4   -1    0   0.0000000000000000 
  2   5    1    0   1.1354541815269812 
  2   6    0   -1   1.1354541815269812 
  2   7   -1    0   1.1354541815269812 
  2   8    2   -1   1.1354541815269812 
  2   9   -2   -1   1.1354541815269812 
  2  10    2    1   1.1354541815269812 
  2  11   -2    1   1.1354541815269812 
  2  12    1   -2   1.1354541815269812 
  2  13   -1   -2   1.1354541815269812 
  2  14    0   -1   1.1354541815269812 
  2  15    1    0   1.1354541815269812 
  2  16    0    1   1.1354541815269812 
  2  17    1    2   1.1354541815269812 
  2  18    0    1   1.1354541815269812 
  2  19   -1    2   1.1354541815269812 
  2  20   -1    0   1.1354541815269812 
  2  21    0   -1   2.2709083630539637 
  2  22    1    0   2.2709083630539637 
  2  23   -1    0   2.2709083630539637 
  2  24   -1    0   2.2709083630539637 
  2  25    1    0   2.2709083630539637 
  2  26    2    1   2.2709083630539637 
  2  27   -2    1   2.2709083630539637 
  2  28    0   -3   2.2709083630539637 
  2  29    0   -1   2.2709083630539637 
  2  30    3    0   2.2709083630539637 
  2  31    0    1   2.2709083630539637 
  2  32   -3    0   2.2709083630539637 
  2  33    0    1   2.2709083630539637 
  2  34    0    3   2.2709083630539637 
  2  35    1   -2   2.2709083630539637 
  2  36   -1   -2   2.2709083630539637 
  2  37    2   -1   2.2709083630539637 
  2  38   -2   -1   2.2709083630539637 
  2  39    1    2   2.2709083630539637 
  2  40   -1    2   2.2709083630539637 
  2  41    0   -1   2.2709083630539637 
  2  42    1    0   2.2709083630539637 
  2  43   -1    0   2.2709083630539637 
  2  44    0    1   2.2709083630539637 
  2  45    1   -2   3.4063625445809449 
  2  46    2   -1   3.4063625445809449 
  2  47   -1   -2   3.4063625445809449 
  2  48   -2   -1   3.4063625445809449 
  2  49   -1    0   3.4063625445809449 
  2  50   -1    0   3.4063625445809449 
  2  51    1    2   3.4063625445809449 
  2  52   -1    2   3.4063625445809449 
  2  53    0   -1   3.4063625445809449 
  2  54    2    1   3.4063625445809449 
  2  55   -2    1   3.4063625445809449 
  2  56    1    0   3.4063625445809449 
  2  57    0   -1   3.4063625445809449 
  2  58    1    0   3.4063625445809449 
  2  59    0    1   3.4063625445809449 
  2  60    0    1   3.4063625445809449 
  2  61    0    1   4.5418167261079248 
  2  62    1    0   4.5418167261079248 
  2  63   -1    0   4.5418167261079248 
  2  64    0   -1   4.5418167261079248 

Elapsed Time =  0.02771 +  0.00054 + 0.00009 +  0.00056 =  0.02889 

Iteration = 3 
---------------
 It.  #   2Sz   Q          E 
--------------------------------------
  3   1    0    0   0.0000000000000000 
  3   2    1   -1   0.5357298759227627 
  3   3   -1    1   0.5357298759227627 
  3   4   -1   -1   0.5357298759227627 
  3   5    1    1   0.5357298759227627 
  3   6    0   -2   1.0714597518455240 
  3   7   -2    0   1.0714597518455240 
  3   8    0    2   1.0714597518455240 
  3   9    0    0   1.0714597518455240 
  3  10    0    0   1.0714597518455240 
  3  11    2    0   1.0714597518455240 
  3  12    1    1   1.6071896277682878 
  3  13   -1   -1   1.6071896277682878 
  3  14   -1    1   1.6071896277682878 
  3  15    1   -1   1.6071896277682878 
  3  16   -1    1   1.9986962574856062 
  3  17   -1   -1   1.9986962574856062 
  3  18    1    1   1.9986962574856062 
  3  19    1   -1   1.9986962574856062 
  3  20    0    0   2.1429195036910484 
  3  21    0    0   2.5344261334083686 
  3  22    0    0   2.5344261334083686 
  3  23    2   -2   2.5344261334083686 
  3  24   -2   -2   2.5344261334083686 
  3  25    2    0   2.5344261334083686 
  3  26    0    2   2.5344261334083686 
  3  27    0   -2   2.5344261334083686 
  3  28    0    2   2.5344261334083686 
  3  29    2    2   2.5344261334083686 
  3  30   -2    2   2.5344261334083686 
  3  31   -2    0   2.5344261334083686 
  3  32    2    0   2.5344261334083686 
  3  33    0    0   2.5344261334083686 
  3  34    0    0   2.5344261334083686 
  3  35    0   -2   2.5344261334083686 
  3  36   -2    0   2.5344261334083686 
  3  37   -1    1   3.0701560093311309 
  3  38    1   -1   3.0701560093311309 
  3  39    1    1   3.0701560093311309 
  3  40    1   -1   3.0701560093311309 
  3  41    1    1   3.0701560093311309 
  3  42   -1    1   3.0701560093311309 
  3  43   -1    1   3.0701560093311309 
  3  44    3   -1   3.0701560093311309 
  3  45   -3   -1   3.0701560093311309 
  3  46    1    3   3.0701560093311309 
  3  47   -1    3   3.0701560093311309 
  3  48    1   -3   3.0701560093311309 
  3  49   -1   -3   3.0701560093311309 
  3  50   -1   -1   3.0701560093311309 
  3  51    3    1   3.0701560093311309 
  3  52   -3    1   3.0701560093311309 
  3  53    1    1   3.0701560093311309 
  3  54   -1    1   3.0701560093311309 
  3  55    1   -1   3.0701560093311309 
  3  56   -1   -1   3.0701560093311309 
  3  57    1   -1   3.0701560093311309 
  3  58    1    1   3.0701560093311309 
  3  59   -1   -1   3.0701560093311309 
  3  60   -1   -1   3.0701560093311309 
  3  61    0   -2   3.6058858852538922 
  3  62    0    0   3.6058858852538922 
  3  63   -2    0   3.6058858852538922 
  3  64    0    2   3.6058858852538922 
  3  65    2   -2   3.6058858852538922 
  3  66   -2   -2   3.6058858852538922 
  3  67    0    0   3.6058858852538922 
  3  68   -2    0   3.6058858852538922 
  3  69    2    0   3.6058858852538922 
  3  70    2    0   3.6058858852538922 
  3  71    0    0   3.6058858852538922 
  3  72    2    2   3.6058858852538922 
  3  73   -2    2   3.6058858852538922 
  3  74    0   -2   3.6058858852538922 
  3  75    0    0   3.6058858852538922 
  3  76    0    2   3.6058858852538922 
  3  77    0    0   3.9973925149712137 
  3  78    2    0   3.9973925149712137 
  3  79    0    0   3.9973925149712137 
  3  80    0    2   3.9973925149712137 
  3  81    0   -2   3.9973925149712137 
  3  82   -2    0   3.9973925149712137 
  3  83    1    1   4.1416157611766540 
  3  84    1   -1   4.1416157611766540 
  3  85   -1    1   4.1416157611766540 
  3  86   -1   -1   4.1416157611766540 
  3  87    1    1   4.5331223908939773 
  3  88    1    1   4.5331223908939773 
  3  89    1   -1   4.5331223908939773 
  3  90    1   -1   4.5331223908939773 
  3  91    3    1   4.5331223908939773 
  3  92   -1    1   4.5331223908939773 
  3  93   -3    1   4.5331223908939773 
  3  94    1   -1   4.5331223908939773 
  3  95    1    1   4.5331223908939773 
  3  96   -1    1   4.5331223908939773 
  3  97    3   -1   4.5331223908939773 
  3  98   -3   -1   4.5331223908939773 
  3  99   -1    1   4.5331223908939773 
  3 100    1    3   4.5331223908939773 
  3 101   -1    3   4.5331223908939773 
  3 102   -1   -1   4.5331223908939773 
  3 103   -1   -1   4.5331223908939773 
  3 104    1   -1   4.5331223908939773 
  3 105    1   -3   4.5331223908939773 
  3 106   -1   -3   4.5331223908939773 
  3 107   -1   -1   4.5331223908939773 
  3 108   -1   -1   4.5331223908939773 
  3 109   -1    1   4.5331223908939773 
  3 110    1    1   4.5331223908939773 
  3 111    0   -2   5.0688522668167391 
  3 112    0    0   5.0688522668167391 
  3 113    0    0   5.0688522668167391 
  3 114    2    0   5.0688522668167391 
  3 115   -2    0   5.0688522668167391 
  3 116    2    0   5.0688522668167391 
  3 117    0   -2   5.0688522668167391 
  3 118    0   -2   5.0688522668167391 
  3 119    0    0   5.0688522668167391 
  3 120    0   -4   5.0688522668167391 
  3 121    2   -2   5.0688522668167391 
  3 122   -2   -2   5.0688522668167391 
  3 123    4    0   5.0688522668167391 
  3 124    0    0   5.0688522668167391 
  3 125    0    0   5.0688522668167391 
  3 126   -2    0   5.0688522668167391 
  3 127   -4    0   5.0688522668167391 
  3 128    0    2   5.0688522668167391 
  3 129    0    4   5.0688522668167391 
  3 130    2    0   5.0688522668167391 
  3 131    2    2   5.0688522668167391 
  3 132   -2    2   5.0688522668167391 
  3 133    2    0   5.0688522668167391 
  3 134    0    0   5.0688522668167391 
  3 135    0    0   5.0688522668167391 
  3 136    0    2   5.0688522668167391 
  3 137    0   -2   5.0688522668167391 
  3 138   -2    0   5.0688522668167391 
  3 139    2    2   5.0688522668167391 
  3 140   -2    2   5.0688522668167391 
  3 141    2   -2   5.0688522668167391 
  3 142   -2   -2   5.0688522668167391 
  3 143   -2    0   5.0688522668167391 
  3 144    0    2   5.0688522668167391 
  3 145    0    0   5.0688522668167391 
  3 146    0    2   5.0688522668167391 
  3 147    1   -1   5.6045821427395008 
  3 148   -1   -1   5.6045821427395008 
  3 149    1    1   5.6045821427395008 
  3 150    1    1   5.6045821427395008 
  3 151    1    1   5.6045821427395008 
  3 152   -1    1   5.6045821427395008 
  3 153   -1    1   5.6045821427395008 
  3 154    1    1   5.6045821427395008 
  3 155    1   -3   5.6045821427395008 
  3 156   -1   -3   5.6045821427395008 
  3 157    3    1   5.6045821427395008 
  3 158   -3    1   5.6045821427395008 
  3 159   -1    1   5.6045821427395008 
  3 160    1   -1   5.6045821427395008 
  3 161    3   -1   5.6045821427395008 
  3 162   -3   -1   5.6045821427395008 
  3 163    1    3   5.6045821427395008 
  3 164   -1    3   5.6045821427395008 
  3 165    1   -1   5.6045821427395008 
  3 166   -1   -1   5.6045821427395008 
  3 167   -1    1   5.6045821427395008 
  3 168    1   -1   5.6045821427395008 
  3 169   -1   -1   5.6045821427395008 
  3 170   -1   -1   5.6045821427395008 
  3 171    1    1   5.9960887724568206 
  3 172    1   -1   5.9960887724568206 
  3 173   -1   -1   5.9960887724568206 
  3 174   -1    1   5.9960887724568206 
  3 175    0   -2   6.1403120186622608 
  3 176    0    2   6.1403120186622608 
  3 177    0    0   6.1403120186622608 
  3 178    2    0   6.1403120186622608 
  3 179    0    0   6.1403120186622608 
  3 180   -2    0   6.1403120186622608 
  3 181    0    2   6.5318186483795824 
  3 182    2    0   6.5318186483795824 
  3 183    0   -2   6.5318186483795824 
  3 184    0   -2   6.5318186483795824 
  3 185    2    0   6.5318186483795824 
  3 186    0    0   6.5318186483795824 
  3 187    0    0   6.5318186483795824 
  3 188    2    2   6.5318186483795824 
  3 189   -2    2   6.5318186483795824 
  3 190    2   -2   6.5318186483795824 
  3 191   -2   -2   6.5318186483795824 
  3 192   -2    0   6.5318186483795824 
  3 193    0    2   6.5318186483795824 
  3 194    0    0   6.5318186483795824 
  3 195   -2    0   6.5318186483795824 
  3 196    0    0   6.5318186483795824 
  3 197   -1    1   7.0675485243023424 
  3 198   -1    1   7.0675485243023424 
  3 199    1   -1   7.0675485243023424 
  3 200    3    1   7.0675485243023424 
  3 201   -3    1   7.0675485243023424 
  3 202    3   -1   7.0675485243023424 
  3 203   -3   -1   7.0675485243023424 
  3 204   -1    1   7.0675485243023424 
  3 205    1    3   7.0675485243023424 
  3 206   -1    3   7.0675485243023424 
  3 207   -1   -1   7.0675485243023424 
  3 208    1    1   7.0675485243023424 
  3 209   -1    1   7.0675485243023424 
  3 210    1   -1   7.0675485243023424 
  3 211   -1   -1   7.0675485243023424 
  3 212   -1   -1   7.0675485243023424 
  3 213    1    1   7.0675485243023424 
  3 214    1    1   7.0675485243023424 
  3 215    1   -1   7.0675485243023424 
  3 216    1   -1   7.0675485243023424 
  3 217   -1   -1   7.0675485243023424 
  3 218    1    1   7.0675485243023424 
  3 219    1   -3   7.0675485243023424 
  3 220   -1   -3   7.0675485243023424 
  3 221    2    0   7.6032784002251041 
  3 222    2   -2   7.6032784002251041 
  3 223   -2   -2   7.6032784002251041 
  3 224    0    0   7.6032784002251041 
  3 225    0   -2   7.6032784002251041 
  3 226    0   -2   7.6032784002251041 
  3 227   -2    0   7.6032784002251041 
  3 228    2    2   7.6032784002251041 
  3 229   -2    2   7.6032784002251041 
  3 230    0    0   7.6032784002251041 
  3 231    2    0   7.6032784002251041 
  3 232    0    2   7.6032784002251041 
  3 233   -2    0   7.6032784002251041 
  3 234    0    0   7.6032784002251041 
  3 235    0    0   7.6032784002251041 
  3 236    0    2   7.6032784002251041 
  3 237    0    0   7.9947850299424186 
  3 238   -1   -1   8.1390082761478659 
  3 239    1    1   8.1390082761478659 
  3 240   -1    1   8.1390082761478659 
  3 241    1   -1   8.1390082761478659 
  3 242    1    1   8.5305149058651839 
  3 243    1   -1   8.5305149058651839 
  3 244   -1   -1   8.5305149058651839 
  3 245   -1    1   8.5305149058651839 
  3 246    2    0   9.0662447817879439 
  3 247   -2    0   9.0662447817879439 
  3 248    0   -2   9.0662447817879439 
  3 249    0    2   9.0662447817879439 
  3 250    0    0   9.0662447817879439 
  3 251    0    0   9.0662447817879439 
  3 252    1    1   9.6019746577107075 
  3 253   -1    1   9.6019746577107075 
  3 254    1   -1   9.6019746577107075 
  3 255   -1   -1   9.6019746577107075 
  3 256    0    0  10.1377045336334675 

Elapsed Time =  0.02919 +  0.00284 + 0.00036 +  0.00259 =  0.03499 

Iteration = 4 
---------------
 It.  #   2Sz   Q          E 
--------------------------------------
  4   1    1    0   0.0000000000000000 
  4   2    0   -1   0.0000000000000000 
  4   3   -1    0   0.0000000000000000 
  4   4    0    1   0.0000000000000000 
  4   5   -1    0   1.1310782915928175 
  4   6    1    0   1.1310782915928175 
  4   7   -1    0   1.1310782915928175 
  4   8    2   -1   1.1310782915928175 
  4   9    0   -1   1.1310782915928175 
  4  10   -1   -2   1.1310782915928175 
  4  11    1    0   1.1310782915928175 
  4  12    0    1   1.1310782915928175 
  4  13    0   -1   1.1310782915928175 
  4  14    1    2   1.1310782915928175 
  4  15   -2   -1   1.1310782915928175 
  4  16    1   -2   1.1310782915928175 
  4  17    0    1   1.1310782915928175 
  4  18    2    1   1.1310782915928175 
  4  19   -1    2   1.1310782915928175 
  4  20   -2    1   1.1310782915928175 
  4  21   -1    0   2.2621565831856305 
  4  22    0    3   2.2621565831856305 
  4  23    1    2   2.2621565831856305 
  4  24    1    0   2.2621565831856305 
  4  25    1   -2   2.2621565831856305 
  4  26    0   -1   2.2621565831856305 
  4  27    0   -3   2.2621565831856305 
  4  28   -2    1   2.2621565831856305 
  4  29   -1    2   2.2621565831856305 
  4  30    1    0   2.2621565831856305 
  4  31    0    1   2.2621565831856305 
  4  32    0   -1   2.2621565831856305 
  4  33    0    1   2.2621565831856305 
  4  34    2   -1   2.2621565831856305 
  4  35   -2   -1   2.2621565831856305 
  4  36   -1    0   2.2621565831856305 
  4  37    0    1   2.2621565831856305 
  4  38    3    0   2.2621565831856305 
  4  39    2    1   2.2621565831856305 
  4  40   -1    0   2.2621565831856305 
  4  41   -3    0   2.2621565831856305 
  4  42   -1   -2   2.2621565831856305 
  4  43    0   -1   2.2621565831856305 
  4  44    1    0   2.2621565831856305 
  4  45   -2   -1   3.3932348747784444 
  4  46   -2    1   3.3932348747784444 
  4  47   -1   -2   3.3932348747784444 
  4  48    0   -1   3.3932348747784444 
  4  49    2   -1   3.3932348747784444 
  4  50   -1    0   3.3932348747784444 
  4  51    1   -2   3.3932348747784444 
  4  52    1    0   3.3932348747784444 
  4  53    0    1   3.3932348747784444 
  4  54   -1    0   3.3932348747784444 
  4  55    1    0   3.3932348747784444 
  4  56    2    1   3.3932348747784444 
  4  57    0    1   3.3932348747784444 
  4  58    1    2   3.3932348747784444 
  4  59   -1    2   3.3932348747784444 
  4  60    0   -1   3.3932348747784444 
  4  61    0   -1   3.4640727759735168 
  4  62    1    0   3.4640727759735168 
  4  63   -1    0   3.4640727759735168 
  4  64   -2    1   3.4640727759735168 
  4  65    0    1   3.4640727759735168 
  4  66    1    2   3.4640727759735168 
  4  67   -2   -1   3.4640727759735168 
  4  68   -1    0   3.4640727759735168 
  4  69    2    1   3.4640727759735168 
  4  70    0   -1   3.4640727759735168 
  4  71    1    0   3.4640727759735168 
  4  72    0    1   3.4640727759735168 
  4  73   -1   -2   3.4640727759735168 
  4  74    2   -1   3.4640727759735168 
  4  75    1   -2   3.4640727759735168 
  4  76   -1    2   3.4640727759735168 
  4  77    0   -1   4.5243131663712575 
  4  78    0    1   4.5243131663712575 
  4  79   -1    0   4.5243131663712575 
  4  80    1    0   4.5243131663712575 
  4  81    0   -1   4.5951510675663281 
  4  82    0    1   4.5951510675663281 
  4  83    1   -2   4.5951510675663281 
  4  84    0    1   4.5951510675663281 
  4  85   -1    0   4.5951510675663281 
  4  86   -1    0   4.5951510675663281 
  4  87   -3    0   4.5951510675663281 
  4  88    0    1   4.5951510675663281 
  4  89    0    3   4.5951510675663281 
  4  90    1    0   4.5951510675663281 
  4  91    2    3   4.5951510675663281 
  4  92   -2    3   4.5951510675663281 
  4  93    3    0   4.5951510675663281 
  4  94    0    3   4.5951510675663281 
  4  95   -1   -2   4.5951510675663281 
  4  96    2   -1   4.5951510675663281 
  4  97    0   -1   4.5951510675663281 
  4  98   -1    0   4.5951510675663281 
  4  99    0    1   4.5951510675663281 
  4 100    0    1   4.5951510675663281 
  4 101    1    2   4.5951510675663281 
  4 102   -1    2   4.5951510675663281 
  4 103    2   -3   4.5951510675663281 
  4 104   -2   -3   4.5951510675663281 
  4 105    0   -1   4.5951510675663281 
  4 106    1    0   4.5951510675663281 
  4 107   -1    0   4.5951510675663281 
  4 108    0   -3   4.5951510675663281 
  4 109    3   -2   4.5951510675663281 
  4 110   -3   -2   4.5951510675663281 
  4 111    1   -2   4.5951510675663281 
  4 112   -1   -2   4.5951510675663281 
  4 113   -1    0   4.5951510675663281 
  4 114    2    1   4.5951510675663281 
  4 115   -2    1   4.5951510675663281 
  4 116    2    1   4.5951510675663281 
  4 117   -2    1   4.5951510675663281 
  4 118    1    2   4.5951510675663281 
  4 119    1    0   4.5951510675663281 
  4 120    3    0   4.5951510675663281 
  4 121    2    1   4.5951510675663281 
  4 122    3    2   4.5951510675663281 
  4 123   -3    2   4.5951510675663281 
  4 124    0   -3   4.5951510675663281 
  4 125    1   -2   4.5951510675663281 
  4 126   -2   -1   4.5951510675663281 
  4 127    2   -1   4.5951510675663281 
  4 128    1    2   4.5951510675663281 
  4 129   -2    1   4.5951510675663281 
  4 130   -1   -2   4.5951510675663281 
  4 131   -2   -1   4.5951510675663281 
  4 132    0   -1   4.5951510675663281 
  4 133    0   -1   4.5951510675663281 
  4 134   -2   -1   4.5951510675663281 
  4 135    1    0   4.5951510675663281 
  4 136    1    0   4.5951510675663281 
  4 137   -1    0   4.5951510675663281 
  4 138    0    1   4.5951510675663281 
  4 139   -1    2   4.5951510675663281 
  4 140    2   -1   4.5951510675663281 
  4 141    1    0   4.5951510675663281 
  4 142   -1    2   4.5951510675663281 
  4 143    0   -1   4.5951510675663281 
  4 144   -3    0   4.5951510675663281 
  4 145   -2    1   5.7262293591591549 
  4 146    0   -1   5.7262293591591549 
  4 147    0   -1   5.7262293591591549 
  4 148    0    1   5.7262293591591549 
  4 149   -1    2   5.7262293591591549 
  4 150    2   -1   5.7262293591591549 
  4 151   -2   -1   5.7262293591591549 
  4 152    2   -1   5.7262293591591549 
  4 153   -1    0   5.7262293591591549 
  4 154    0    3   5.7262293591591549 
  4 155   -1    2   5.7262293591591549 
  4 156    0   -1   5.7262293591591549 
  4 157   -3    0   5.7262293591591549 
  4 158    0    1   5.7262293591591549 
  4 159    2   -3   5.7262293591591549 
  4 160   -2   -3   5.7262293591591549 
  4 161   -1   -2   5.7262293591591549 
  4 162    2   -1   5.7262293591591549 
  4 163    0   -1   5.7262293591591549 
  4 164   -1    0   5.7262293591591549 
  4 165    3    0   5.7262293591591549 
  4 166    2    3   5.7262293591591549 
  4 167    0    3   5.7262293591591549 
  4 168   -1    2   5.7262293591591549 
  4 169   -2    3   5.7262293591591549 
  4 170   -2   -1   5.7262293591591549 
  4 171   -1    0   5.7262293591591549 
  4 172    1    0   5.7262293591591549 
  4 173    1    0   5.7262293591591549 
  4 174    4    1   5.7262293591591549 
  4 175   -2    1   5.7262293591591549 
  4 176   -2    1   5.7262293591591549 
  4 177   -4    1   5.7262293591591549 
  4 178    0   -3   5.7262293591591549 
  4 179   -1   -2   5.7262293591591549 
  4 180   -1   -2   5.7262293591591549 
  4 181   -2   -1   5.7262293591591549 
  4 182    0   -1   5.7262293591591549 
  4 183   -1    0   5.7262293591591549 
  4 184   -1    0   5.7262293591591549 
  4 185    2    1   5.7262293591591549 
  4 186    2    1   5.7262293591591549 
  4 187    0    1   5.7262293591591549 
  4 188    0    1   5.7262293591591549 
  4 189    0    1   5.7262293591591549 
  4 190    1   -2   5.7262293591591549 
  4 191    3   -2   5.7262293591591549 
  4 192   -3   -2   5.7262293591591549 
  4 193   -1   -2   5.7262293591591549 
  4 194    0   -1   5.7262293591591549 
  4 195    0   -1   5.7262293591591549 
  4 196    2    1   5.7262293591591549 
  4 197    0    1   5.7262293591591549 
  4 198   -2    1   5.7262293591591549 
  4 199   -1    2   5.7262293591591549 
  4 200    1   -2   5.7262293591591549 
  4 201    2   -1   5.7262293591591549 
  4 202   -2   -1   5.7262293591591549 
  4 203    1    0   5.7262293591591549 
  4 204    1    0   5.7262293591591549 
  4 205    2    1   5.7262293591591549 
  4 206    1    2   5.7262293591591549 
  4 207    0    1   5.7262293591591549 
  4 208    1    0   5.7262293591591549 
  4 209   -1    0   5.7262293591591549 
  4 210   -1    0   5.7262293591591549 
  4 211    3    2   5.7262293591591549 
  4 212    1    2   5.7262293591591549 
  4 213   -3    0   5.7262293591591549 
  4 214   -3    2   5.7262293591591549 
  4 215    1   -4   5.7262293591591549 
  4 216   -1   -4   5.7262293591591549 
  4 217    4   -1   5.7262293591591549 
  4 218   -4   -1   5.7262293591591549 
  4 219    2    1   5.7262293591591549 
  4 220    1    2   5.7262293591591549 
  4 221    1    4   5.7262293591591549 
  4 222   -2    1   5.7262293591591549 
  4 223   -1    4   5.7262293591591549 
  4 224    1   -2   5.7262293591591549 
  4 225   -1   -2   5.7262293591591549 
  4 226    1    2   5.7262293591591549 
  4 227    1   -2   5.7262293591591549 
  4 228    1   -2   5.7262293591591549 
  4 229   -2   -1   5.7262293591591549 
  4 230    1    0   5.7262293591591549 
  4 231    1    0   5.7262293591591549 
  4 232    0    1   5.7262293591591549 
  4 233    1    0   5.7262293591591549 
  4 234    0   -3   5.7262293591591549 
  4 235    0   -1   5.7262293591591549 
  4 236    3    0   5.7262293591591549 
  4 237    2   -1   5.7262293591591549 
  4 238   -1    2   5.7262293591591549 
  4 239   -1    0   5.7262293591591549 
  4 240    1    2   5.7262293591591549 
  4 241   -2   -1   6.8573076507519666 
  4 242    1    2   6.8573076507519666 
  4 243   -3    0   6.8573076507519666 
  4 244    1    0   6.8573076507519666 
  4 245    0    3   6.8573076507519666 
  4 246    0    1   6.8573076507519666 
  4 247    1   -2   6.8573076507519666 
  4 248   -1    0   6.8573076507519666 
  4 249    0   -3   6.8573076507519666 
  4 250    1    0   6.8573076507519666 
  4 251   -3    0   6.8573076507519666 
  4 252    2   -3   6.8573076507519666 
  4 253   -2   -3   6.8573076507519666 
  4 254   -1   -2   6.8573076507519666 
  4 255    1   -2   6.8573076507519666 
  4 256    0   -1   6.8573076507519666 
  4 257   -1    2   6.8573076507519666 
  4 258    0    3   6.8573076507519666 
  4 259    0   -3   6.8573076507519666 
  4 260    1   -2   6.8573076507519666 
  4 261    0   -1   6.8573076507519666 
  4 262    1    0   6.8573076507519666 
  4 263   -1    0   6.8573076507519666 
  4 264   -1    0   6.8573076507519666 
  4 265    1    2   6.8573076507519666 
  4 266   -1    2   6.8573076507519666 
  4 267    0   -1   6.8573076507519666 
  4 268    2    3   6.8573076507519666 
  4 269   -2    3   6.8573076507519666 
  4 270   -1   -2   6.8573076507519666 
  4 271    0   -1   6.8573076507519666 
  4 272   -2   -1   6.8573076507519666 
  4 273    1    0   6.8573076507519666 
  4 274    2    1   6.8573076507519666 
  4 275    0    1   6.8573076507519666 
  4 276    0    1   6.8573076507519666 
  4 277    1    2   6.8573076507519666 
  4 278   -2    1   6.8573076507519666 
  4 279   -1   -2   6.8573076507519666 
  4 280    2   -1   6.8573076507519666 
  4 281    2   -1   6.8573076507519666 
  4 282    1    0   6.8573076507519666 
  4 283   -1    0   6.8573076507519666 
  4 284    2    1   6.8573076507519666 
  4 285    0    1   6.8573076507519666 
  4 286   -2    1   6.8573076507519666 
  4 287    0   -1   6.8573076507519666 
  4 288   -1    0   6.8573076507519666 
  4 289    0    1   6.8573076507519666 
  4 290   -2    1   6.8573076507519666 
  4 291   -1    2   6.8573076507519666 
  4 292    3   -2   6.8573076507519666 
  4 293   -3   -2   6.8573076507519666 
  4 294    2   -1   6.8573076507519666 
  4 295    3    0   6.8573076507519666 
  4 296    1    0   6.8573076507519666 
  4 297   -1    0   6.8573076507519666 
  4 298    3    2   6.8573076507519666 
  4 299    0    1   6.8573076507519666 
  4 300   -3    2   6.8573076507519666 
  4 301   -2   -1   6.8573076507519666 
  4 302    0   -1   6.8573076507519666 
  4 303    3    0   6.8573076507519666 
  4 304    2    1   6.8573076507519666 
  4 305   -1    0   6.9281455519470354 
  4 306   -3    0   6.9281455519470354 
  4 307    0   -3   6.9281455519470354 
  4 308    0   -1   6.9281455519470354 
  4 309    3    0   6.9281455519470354 
