#  It      Temp.          <S>           <TChi>           Cv 
#---------------------------------------------------------------
   0   1.000000e+00     2.07743878     0.36210476    -0.07583742 
   1   5.773503e-01     3.04851100     0.43192505     0.01054302 
   2   3.333333e-01     3.56242026     0.45859995     0.32426543 
   3   1.924501e-01     3.61710347     0.45698859     0.57338991 
   4   1.111111e-01     3.63955829     0.45834879     0.45281547 
   5   6.415003e-02     3.62285108     0.45442647     0.57606999 
   6   3.703704e-02     3.64049916     0.45509892     0.45737522 
   7   2.138334e-02     3.62283944     0.45077811     0.57553287 
   8   1.234568e-02     3.63942969     0.45085838     0.46301377 
   9   7.127781e-03     3.62141908     0.44603619     0.57468962 
  10   4.115226e-03     3.63708693     0.44532972     0.47064093 
  11   2.375927e-03     3.61864255     0.43978105     0.57340442 
  12   1.371742e-03     3.63289456     0.43792987     0.48154103 
  13   7.919757e-04     3.61354887     0.43127212     0.57153806 
  14   4.572474e-04     3.62518420     0.42767771     0.49786022 
  15   2.639919e-04     3.60372722     0.41926618     0.56887911 
  16   1.524158e-04     3.61003499     0.41292350     0.52326648 
  17   8.799730e-05     3.58342095     0.40168303     0.56536926 
  18   5.080526e-05     3.57811528     0.39097531     0.56320197 
  19   2.933243e-05     3.53893857     0.37538551     0.56161718 
  20   1.693509e-05     3.50849392     0.35837408     0.62040072 
  21   9.777478e-06     3.44301085     0.33766850     0.55766584 
  22   5.645029e-06     3.36999821     0.31487129     0.67383722 
  23   3.259159e-06     3.27600412     0.29350603     0.54037814 
  24   1.881676e-06     3.17732834     0.27267860     0.67039371 
  25   1.086386e-06     3.10217252     0.25994015     0.49473941 
  26   6.272255e-07     3.03190280     0.24784832     0.62477862 
  27   3.621288e-07     3.00631031     0.24429016     0.45590032 
  28   2.090752e-07     2.96783603     0.23802384     0.59613193 
  29   1.207096e-07     2.97042764     0.23867926     0.43952964 
  30   6.969172e-08     2.94525713     0.23465392     0.58539734 
