#      Temp.        S_avg         TChi_avg       Cv_avg 
#- --------------------------------------------------------
  5.773503e-01     0.68904348     0.23164456    -0.01444142 
  3.333333e-01     0.68762678     0.22701243     0.00718762 
  1.924501e-01     0.68769563     0.22434302     0.00741886 
  1.111111e-01     0.68840926     0.22277732     0.00880811 
  6.415003e-02     0.68880305     0.22121473     0.00988799 
  3.703704e-02     0.68876443     0.21946277     0.01096930 
  2.138334e-02     0.68839026     0.21747919     0.01229883 
  1.234568e-02     0.68773759     0.21523051     0.01350608 
  7.127781e-03     0.68678526     0.21266161     0.01520808 
  4.115226e-03     0.68550208     0.20971532     0.01679449 
  2.375927e-03     0.68375857     0.20630143     0.01919889 
  1.371742e-03     0.68143668     0.20232420     0.02145743 
  7.919757e-04     0.67823553     0.19763390     0.02507071 
  4.572474e-04     0.67385248     0.19206938     0.02848578 
  2.639919e-04     0.66760976     0.18537934     0.03417262 
  1.524158e-04     0.65874588     0.17729500     0.03964672 
  8.799730e-05     0.64568938     0.16741217     0.04875313 
  5.080526e-05     0.62658886     0.15535074     0.05779899 
  2.933243e-05     0.59806292     0.14062605     0.07116065 
  1.693509e-05     0.55667566     0.12304649     0.08447250 
  9.777478e-06     0.49806980     0.10274154     0.09684379 
  5.645029e-06     0.42169419     0.08082523     0.10588099 
  3.259159e-06     0.33177504     0.05923644     0.10069819 
  1.881676e-06     0.24014967     0.04029679     0.08842763 
  1.086386e-06     0.16033539     0.02569776     0.06561418 
  6.272255e-07     0.10001345     0.01557769     0.04450063 
  3.621288e-07     0.06003121     0.00920907     0.02762919 
  2.090752e-07     0.03504385     0.00535022     0.01637485 
  1.207096e-07     0.02042845     0.00310502     0.00959853 
